MZUEUQRT;MZ;UEU;QRT;estq_max_01;estq_max_02;estq_max_03;estq_max_04;estq_max_05;estq_max_06;estq_max_07;estq_max_08;estq_max_09;estq_max_10;estq_max_11;estq_max_12;estq_max_13;estq_max_14;estq_max_15;estq_max_16
1052021;1.0;52.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3063.15;3063.15;3063.15;3063.15;3063.15
1052023;1.0;52.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052025;1.0;52.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052027;1.0;52.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052029;1.0;52.0;29.0;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;3565.7937;4874.72;4874.72;4874.72;4874.72;4874.72
1052031;1.0;52.0;31.0;2721.148;2712.768;2712.768;2712.768;2712.768;2712.768;2712.768;2712.768;2712.768;2712.768;2712.768;5369.56;5369.56;5369.56;5369.56;5369.56
1052033;1.0;52.0;33.0;3890.758;3729.399;3729.399;3729.399;3729.399;3729.399;3729.399;3450.197;3450.197;3450.197;3450.197;8026.95;8026.95;8026.95;8026.95;8026.95
1052035;1.0;52.0;35.0;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;2886.236;4036.17;4036.17;4036.17;4036.17;4036.17
1052039;1.0;52.0;39.0;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;4969.4247;6234.35;6234.35;6234.35;6234.35;6234.35
1052041;1.0;52.0;41.0;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1191.0887;1568.61;1568.61;1568.61;1568.61;1568.61
1052043;1.0;52.0;43.0;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;2314.7608;4038.17;4038.17;4038.17;4038.17;4038.17
