MZUEUQRT;MZ;UEU;QRT;uso_estq_01;uso_estq_02;uso_estq_03;uso_estq_04;uso_estq_05;uso_estq_06;uso_estq_07;uso_estq_08;uso_estq_09;uso_estq_10;uso_estq_11;uso_estq_12;uso_estq_13;uso_estq_14;uso_estq_15;uso_estq_16
1066053;1;66;53;1612.9889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066055;1;66;55;1170.2228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066057;1;66;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066059;1;66;59;470.5845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066061;1;66;61;2591.1173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066063;1;66;63;2753.5129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066065;1;66;65;666.4817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066067;1;66;67;5102.5277;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0
1066069;1;66;69;15.8838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066071;1;66;71;363.5767;0.0;0.0;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018;10.230000000000018
1066073;1;66;73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066075;1;66;75;1527.7452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068001;1;68;1;584.024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068003;1;68;3;1670.2917;0.0;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008;78.91000000000008
1068005;1;68;5;855.1403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068007;1;68;7;1601.2386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068009;1;68;9;4054.4577;0.0;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736;1230.2736
1068011;1;68;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068013;1;68;13;1127.7998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068015;1;68;15;957.5759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;194.23000000000002;194.23000000000002;194.23000000000002;194.23000000000002;194.23000000000002;194.23000000000002;194.23000000000002
1068017;1;68;17;1937.1003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068019;1;68;19;865.5468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;457.52999999999975
1068021;1;68;21;1986.3723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068025;1;68;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068027;1;68;27;1434.612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068029;1;68;29;24588.8447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.80000000000291;81.80000000000291;81.80000000000291;81.80000000000291;81.80000000000291;81.80000000000291
1068031;1;68;31;766.5694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068033;1;68;33;1182.1749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068037;1;68;37;3616.8294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1853.4799999999996;1853.4799999999996
1068039;1;68;39;3439.2252;0.0;585.2599999999998;585.2599999999998;585.2599999999998;585.2599999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998;1468.5958999999998
1068041;1;68;41;2180.5543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068043;1;68;43;5347.7084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1068045;1;68;45;1700.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070001;1;70;1;320.411;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070003;1;70;3;793.3893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070005;1;70;5;1825.5393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070007;1;70;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070009;1;70;9;1458.7697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070011;1;70;11;1128.953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070013;1;70;13;1220.989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070015;1;70;15;3563.2707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070017;1;70;17;2867.0857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070019;1;70;19;801.6483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070021;1;70;21;3231.5757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070023;1;70;23;4933.6537;0.0;0.0;0.0;0.0;0.0;0.0;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995;449.8108999999995
1070025;1;70;25;3706.4393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070029;1;70;29;916.8157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070031;1;70;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070033;1;70;33;1410.1327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070035;1;70;35;912.5667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070037;1;70;37;1037.6543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070039;1;70;39;1512.7;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011;49.88000000000011
1070041;1;70;41;3219.7247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070043;1;70;43;2315.7563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070045;1;70;45;2449.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070047;1;70;47;4193.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070049;1;70;49;393.8157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070051;1;70;51;3498.1137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070053;1;70;53;3818.1037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070055;1;70;55;1138.3143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070057;1;70;57;1684.4917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1070059;1;70;59;1266.181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
